date,title,summary,source,source_domain,url,overall_sentiment_score,overall_sentiment_label,query_tag
20230106T121800,"XPeng stock just misses a record selloff, snaps 5-day win streak","XPeng Inc. (XPEV) stock plunged nearly 15% to close at $10.11, narrowly missing its record one-day drop. This selloff broke a five-day win streak for the company's U.S.-listed shares. The decline was attributed to negative sentiment among China-based electric vehicle makers following Tesla Inc.'s price cuts in China.",MarketWatch,MarketWatch,https://www.marketwatch.com/story/xpeng-shares-near-record-selloff-to-snap-5-day-win-streak-11673025526?gaa_at=eafs&gaa_n=AWEtsqe7BJ6s5wr03mXAeOofCaHqojOoTXUVg73qj_b_3oFuxwywq73twU3y&gaa_ts=699a89e4&gaa_sig=UV_Q0pqywQ0l47YRZsm7F6M4MqKyQTDXgW0cFbYibbeUM7FkUBlSW62KVi4TVwTJ4lAA5VG-HTBfpV3ry3AeVw%3D%3D,-0.25227,Somewhat-Bearish,alphavantage_tsla
20230106T163300,"CES 2023: AMD, Nvidia, auto applications get the hype, but analysts say this one chip maker ruled","At CES 2023, while companies like Advanced Micro Devices Inc. and Nvidia Corp. received significant attention, analysts suggest that a lower-profile chip maker is better positioned post-convention. Morgan Stanley analyst Joseph Moore noted ongoing caution regarding overall chip demand, particularly due to softness in China, but highlighted autos as a strong theme at the event.",MarketWatch,MarketWatch,https://www.marketwatch.com/story/ces-2023-amd-nvidia-auto-applications-get-the-hype-but-analysts-say-this-one-chip-maker-ruled-11673040821?gaa_at=eafs&gaa_n=AWEtsqehoM1NaCU5eFeh501QjtK2VY6OFG-BqJFJDBQYAIbKMQIdAXH-F0TG&gaa_ts=69076861&gaa_sig=ylDc_8YwL9wT19JBIzQ4bdTYBc6NzYy9FfcuRxS8qGUY6LZfYLgNtot4t3rxmD53B2o_I_l0LirP6AryWnhwGw%3D%3D,0.094584,Neutral,alphavantage_tsla
20230109T040127,"CEO Carlos Tavares says Stellantis might shutter more auto plants, cites high EV costs","Carlos Tavares, CEO of Stellantis, warned at CES 2023 that more car factories might close if high electric vehicle (EV) prices deter consumers and sales fall to pre-pandemic levels. He expressed concern that automakers could lose pricing power as chip supplies recover. Stellantis previously announced the permanent closure of its Belvidere, Illinois plant due to high EV costs, reinforcing Tavares's stance on potential future plant closures if market demand for EVs shrinks.",CBT News,CBT News,https://www.cbtnews.com/ceo-carlos-tavares-says-stellantis-might-shutter-more-auto-plans-cites-high-ev-costs/,-0.196732,Somewhat-Bearish,alphavantage_tsla
20230109T044959,Pepsi turns on Tesla semis,"PepsiCo plans to deploy 100 heavy-duty Tesla Semis in 2023 for deliveries to customers such as Walmart and Kroger, becoming the first company to extensively use these electric trucks. The company is purchasing the Semis outright and investing in charging infrastructure at its California plants, partially supported by state grants and federal subsidies. This move marks PepsiCo's commitment to reducing its environmental impact through early adoption of electric truck technology.",Ticker,Ticker,https://tickernews.co/pepsi-turns-on-tesla-semis/,0.210516,Somewhat-Bullish,alphavantage_tsla
20230109T045150,Tesla: what 2023 holds for the electric vehicle company and why it might be time for Musk to go,"Despite Tesla's strong financial performance and advanced technology, its market leadership is threatened by increasing competition and challenges like production delays and software recalls. The article suggests that CEO Elon Musk's divided attention between Tesla and Twitter, coupled with his controversial management style, could become a liability for Tesla, indicating a need for the company to mature beyond its ""sales only"" approach and possibly for a change in leadership.",The Conversation,The Conversation,https://theconversation.com/tesla-what-2023-holds-for-the-electric-vehicle-company-and-why-it-might-be-time-for-musk-to-go-197317,-0.115989,Neutral,alphavantage_tsla
20230109T143500,Ford U.S. Vehicle Sales Fell 2.2% In 2022 As Industry Suffered Weakest Year Since 2011,"Ford Motor Co. experienced a 2.2% decline in U.S. vehicle sales in 2022, marking the second consecutive year of decrease, primarily due to parts shortages and economic challenges. Despite the annual drop, December saw strong sales, particularly for the profitable F-150 pickup, and Ford highlighted its position as the second-largest U.S. producer of battery electric vehicles. Analysts are projecting a significant increase in Q4 EPS for Ford, anticipating $0.59 compared to $0.26 a year prior.",Seeking Alpha,Seeking Alpha,https://seekingalpha.com/article/4568775-ford-motor-us-vehicle-sales-fell-2022,0.011728,Neutral,alphavantage_tsla
20230109T180200,Disney asks employees to work from office four days a week - CNBC,"Walt Disney Co.'s top boss, Bob Iger, has mandated that employees return to corporate offices four days a week starting March 1, as reported by CNBC. This move aligns Disney with other companies like Snap, Tesla, and Uber, which are also asking employees to return to the office after widespread remote work during the pandemic. The decision follows Iger's return as CEO and coincides with Disney's efforts to boost investor confidence and profitability in its streaming media unit.",Reuters,Reuters,https://www.reuters.com/business/media-telecom/disney-asks-employees-work-office-four-days-week-cnbc-2023-01-09/,0.134383,Neutral,alphavantage_tsla
20230110T041729,A look back at the year in ETFs,"The Canadian ETF industry saw continued product expansion in 2022 despite market challenges, with roughly 120 new ETFs launched. Popular themes included ESG mandates, leveraged ETFs, and funds focused on disruptive technologies, alongside several firsts like single-stock ETFs and target-date families. This article reviews the key trends and new offerings from major providers in the Canadian ETF landscape throughout the year.",Investment Executive,Investment Executive,https://www.investmentexecutive.com/news/products/a-look-back-at-the-year-in-etfs/,0.164043,Somewhat-Bullish,alphavantage_tsla
20230111T040212,ARK Invest's Cathie Wood Bets Big on Crypto,"Cathie Wood's ARK Innovation ETF (ARKK) continues to invest in Coinbase (COIN) shares, acquiring an additional $1.45 million worth despite recent layoffs, bringing ARK Invest's total holdings to about 8.6 million shares across its ETFs. Wood believes Coinbase will emerge ""very strong"" from the crypto bear market due to CEO Brian Armstrong's focus on regulatory clarity and the recent downfall of FTX. She remains bullish on high-growth stocks and the resilience of the Bitcoin and Ethereum blockchains amid economic tightening.",BeInCrypto,BeInCrypto,https://beincrypto.com/cathie-wood-snaps-1-45m-in-coinbase-shares-despite-massive-layoffs/,0.358098,Bullish,alphavantage_tsla
20230111T045150,Tesla to spend $775 million expanding its Gigafactory Texas electric vehicle plant near Austin,"Tesla plans to invest $775 million in expanding its Gigafactory Texas, located near Austin. The expansion will include new facilities like a cathode facility, cell test lab, die shop, drive unit, and an undisclosed 693,093-square-foot facility, with construction starting soon and continuing into early 2024. This growth initiative comes after a challenging year for Tesla's stock and ongoing production struggles at the factory, despite Elon Musk's efforts to build his Texas-based empire.",San Antonio Express-News,San Antonio Express-News,https://www.expressnews.com/business/article/Tesla-to-spend-775-million-expanding-its-17711107.php,-0.225336,Somewhat-Bearish,alphavantage_tsla
20230112T042956,"EV Startup Lucid Beats Production Target, Struggles to Deliver Cars","Lucid Group Inc., a luxury electric-vehicle maker, announced it exceeded its 2022 production objective by manufacturing 7,180 Air sedans. However, the company only managed to deliver 4,369 of these vehicles to customers, facing logistics issues. This comes after Lucid had previously lowered its production forecast due to supply-chain and manufacturing challenges.",The Wall Street Journal,The Wall Street Journal,https://www.wsj.com/articles/ev-startup-lucid-beats-production-target-struggles-to-deliver-cars-11673550936?gaa_at=eafs&gaa_n=AWEtsqe6_qWqxJR83xmdO2Hz6DImzlzCH4rLk9UTlia-VgVSX_DOYySbi_jt&gaa_ts=699a89c7&gaa_sig=Op0HvALotKhzTdy0Z_v3CATH7hhb8fuA2ANGB6BS-_8bi4CTdUVykHhf15ZHppmB0BxnEJHkXnVobEZIBgHaPw%3D%3D,0.008449,Neutral,alphavantage_tsla
20230113T045149,Tesla slashes prices on new electric vehicle models in the U.S.,"Tesla has significantly cut prices on its new electric vehicle models in the U.S., including the Model 3, Y, X, and S. These price reductions could enable some buyers to qualify for the $7,500 federal tax credit and come as the company faces declining market share and a ""significant demand problem,"" with its stock dropping 65% in 2022. While some investors see the price cuts as a way to boost volume amidst growing competition, others worry about a potential pricing war and Musk's divided attention with Twitter.",Axios,Axios,https://www.axios.com/2023/01/13/tesla-electric-vehicle-price-cuts,-0.211151,Somewhat-Bearish,alphavantage_tsla
20230113T045149,Tesla cuts prices across the board up to 20%,"Tesla has announced significant price cuts across its entire model lineup, with some reductions as high as 20%. The Model Y received the largest cut, bringing its effective price for many U.S. buyers below $47,000 after tax credits, which could be a strategic move to qualify for new clean-vehicle tax credits. These price adjustments reverse years of increases and come amidst softening demand for used Teslas and increasing competition in the EV market, despite a record sales year for the brand in 2022.",Green Car Reports,Green Car Reports,https://www.greencarreports.com/news/1138432_tesla-cuts-prices-across-the-board-up-to-20,0.017719,Neutral,alphavantage_tsla
20230113T072800,Pulte Lawsuit Update: A 2nd Exec Named In Twitter Activity Inquiry,"A second PulteGroup official, General Counsel Todd Sheldon, has been drawn into a lawsuit filed by William J. Pulte against a former executive. The lawsuit centers on whether Sheldon deactivated or deleted Twitter accounts after evidence surfaced that former executive Brandon Jones engaged in disparaging tweets, potentially violating PulteGroup's code of conduct. The subpoena requests Twitter to release details on Sheldon's activity, though PulteGroup maintains the lawsuit is private and does not involve the company or its employees.",HousingWire,HousingWire,https://www.housingwire.com/articles/pulte-lawsuit-update-a-2nd-exec-named-in-twitter-activity-inquiry/,-0.171354,Somewhat-Bearish,alphavantage_tsla
20230117T000000,Ryder layoffs: 800 jobs to be cut at Applied Materials site,"Ryder System Inc. will cut 800 jobs and close its operations at the Applied Materials site in Austin, as disclosed in a letter to the Texas Workforce Commission. The transportation and logistics company expects ""one or more other operators"" to take over its responsibilities. This move comes despite Ryder reporting significant revenue increases in Q3 2022.",The Business Journals,The Business Journals,https://www.bizjournals.com/austin/news/2023/01/17/ryder-applied-materials-trucking-logistics-austin.html,-0.105196,Neutral,alphavantage_tsla
20230117T032500,"Ev Charging Stations Market to See Massive Growth by 2028 | Siemens, Tesla, Schneider Electric","A new research study by HTF MI evaluates the Worldwide EV Charging Stations Market, forecasting massive growth by 2028. The report provides an in-depth analysis of market trends, growth drivers, technologies, and investment structures, segmenting the market by residential and commercial applications, as well as AC and DC charging stations. Key players analyzed include ABB, Tesla, Schneider Electric, and Siemens, with a focus on market share, size, and future growth outlook across various global regions.",openPR.com,openPR.com,https://www.openpr.com/news/2887233/ev-charging-stations-market-to-see-massive-growth-by-2028,0.464303,Bullish,alphavantage_tsla
20230117T075200,"Chinese EV maker Xpeng joins Tesla, Seres in price cuts","Chinese automaker Xpeng announced price cuts for several of its electric vehicle models, including its best-selling P7 sedan, P5 sedan, and G3i SUVs. This move follows similar price reductions by Tesla and Seres, intensifying competition and fueling expectations of a wider price war in China's EV market. Xpeng aims to make intelligent vehicles more accessible and will offer free extended maintenance services as compensation to existing car owners who purchased before the cuts.",Reuters,Reuters,https://www.reuters.com/business/autos-transportation/chinas-xpeng-cuts-prices-some-models-starting-tuesday-2023-01-17/,-0.18399,Somewhat-Bearish,alphavantage_tsla
20230117T075800,Xpeng Follows Tesla With Major Price Cuts on China Electric Cars,"Xpeng Inc. has joined the electric vehicle price war in China by reducing the prices of its models by up to 12.5%. This move follows Tesla's earlier price cuts at the beginning of the year. The price of Xpeng's G3i SUV dropped significantly, while the P7 sedan also saw price reductions, though the G9 model remained unchanged.",Bloomberg.com,Bloomberg.com,https://www.bloomberg.com/news/articles/2023-01-17/xpeng-follows-tesla-with-major-price-cuts-on-china-electric-cars,-0.221213,Somewhat-Bearish,alphavantage_tsla
20230118T045150,"2023 Tesla Model Y Review, Ratings, Specs, Prices, and Photos","The 2023 Tesla Model Y is an electric crossover SUV praised for its excellent range, performance, and spacious interior, but sometimes criticized for inconsistent build quality and styling. It offers Long Range and Performance versions with impressive acceleration and efficiency, high safety ratings, and a minimalist interior centered around a 15-inch touchscreen. While its ""Full Self-Driving"" mode is noted as a misnomer, the vehicle provides good value, especially in its Long Range variant, compared to other electric crossovers.",The Car Connection,The Car Connection,https://www.thecarconnection.com/overview/tesla_model-y_2023,0.205945,Somewhat-Bullish,alphavantage_tsla
20230118T051800,"Tesla video promoting self-driving was staged, engineer testifies","A senior Tesla engineer testified that a 2016 video promoting the company's self-driving technology was staged, showcasing features like stopping at red lights and accelerating at green lights that the system did not possess at the time. This testimony, given in a lawsuit concerning a fatal 2018 crash, confirmed that the video was produced at Elon Musk's request to demonstrate ""what was possible to build into the system"" rather than what was available to customers. Tesla is currently facing lawsuits and a criminal investigation over its driver assistance claims.",Reuters,Reuters,https://www.reuters.com/technology/tesla-video-promoting-self-driving-was-staged-engineer-testifies-2023-01-17/,-0.426415,Bearish,alphavantage_tsla
20230119T035853,Cotações de BDRs: Bolsa de Valores ao Vivo e últimas notícias,"This article provides live BDR (Brazilian Depositary Receipts) quotes and the latest financial news from Money Times. It features an extensive list of BDRs available for trading, along with recent news touching on BDR recommendations from financial institutions like BTG Pactual and Empiricus, B3 trading volumes, and company updates that impact BDRs. The content caters to investors interested in international stocks through the Brazilian stock exchange.",Money Times,Money Times,https://www.moneytimes.com.br/cotacoes/bdrs/,0.323434,Somewhat-Bullish,alphavantage_tsla
20230119T043925,Frito-Lay Focuses on Sustainability in Transformation of California Facility,"Frito-Lay has transformed its Modesto, California facility into a showcase for sustainable manufacturing, warehousing, and distribution technologies. This project, which began in 2019, aims to demonstrate the benefits of zero-emission and near zero-emission technologies. The upgrades have already resulted in a 91% reduction in greenhouse gas emissions from direct fleet operations, significantly reducing the environmental impact.",Convenience Store News,Convenience Store News,https://csnews.com/frito-lay-focuses-sustainability-transformation-california-facility,0.394982,Bullish,alphavantage_tsla
20230119T083000,"""Hertz Electrifies"" Launches in Denver; New Public-Private Partnership between Hertz and Cities aims to Transform the Rental Car Industry and Accelerate Mainstream Consumer Adoption of Electric Vehicles","Hertz has launched ""Hertz Electrifies,"" a new public-private partnership initiative in Denver, Colorado, aimed at accelerating the transition to electric vehicles (EVs) and fostering economic and environmental benefits. This program intends to integrate Hertz's EV fleet into American cities and support charging infrastructure development. The initiative will also focus on creating educational and job training opportunities in EV mobility and engaging with local organizations to bring the benefits of electrification to underserved communities.",PR Newswire,PR Newswire,https://www.prnewswire.com/news-releases/hertz-electrifies-launches-in-denver-new-public-private-partnership-between-hertz-and-cities-aims-to-transform-the-rental-car-industry-and-accelerate-mainstream-consumer-adoption-of-electric-vehicles-301725150.html,0.290832,Somewhat-Bullish,alphavantage_tsla
20230120T043615,EV Charging Firm Volta Acquired by Shell,"Shell's unit is acquiring EV charging firm Volta in an all-cash deal worth about $169 million. Volta operates 3,050 EV chargers in the U.S. and Europe, with another 3,400 in development, making it Shell's second EV charging company acquisition. This move highlights increasing investment in EV charging infrastructure by major energy and automotive companies.",RV PRO,RV PRO,https://rv-pro.com/news/ev-charging-firm-volta-acquired-by-shell/,-0.120142,Neutral,alphavantage_tsla
20230123T043813,Silicon Valley 2.0? 5 US cities that could be the new tech start-up central,"Several southern US cities are emerging as new tech hubs, drawing companies like Tesla, Apple, Oracle, Microsoft, and Google away from California's Silicon Valley. High tax rates, labor costs, regulations, and a declining quality of life in Silicon Valley are pushing these companies to look for more affordable and business-friendly environments in states such as Texas, Arizona, Georgia, and Florida. These new tech centers offer incentives, lower costs of living, and new luxury residential developments to accommodate the influx of workers.",South China Morning Post,South China Morning Post,https://www.scmp.com/magazines/style/news-trends/article/3207548/silicon-valley-no-longer-start-central-us-5-southern-cities-drawing-tech-companies-tesla-and-apple,0.329598,Somewhat-Bullish,alphavantage_tsla
20230123T112000,Should You Invest in the iShares U.S. Consumer Discretionary ETF (IYC)?,"This article evaluates the iShares U.S. Consumer Discretionary ETF (IYC) as an investment option. It details IYC's objective to track the consumer discretionary sector, its expense ratio, top holdings like Amazon, Home Depot, and Tesla, and its performance. The article also provides alternatives such as the Vanguard Consumer Discretionary ETF (VCR) and the Consumer Discretionary Select Sector SPDR ETF (XLY).",Yahoo Movies UK,Yahoo Movies UK,https://uk.movies.yahoo.com/invest-ishares-u-consumer-discretionary-112011388.html,0.291076,Somewhat-Bullish,alphavantage_tsla
20230123T185000,"Ford to cut up to 3,200 European jobs, union says, vowing to fight","Ford Motor Co. plans to cut up to 3,200 jobs across Europe, primarily in product development and administrative roles, with Germany being the most affected, according to the German IG Metall union. The company attributes these structural changes to the shift towards electric vehicle production and the need to become more competitive amidst rising costs and economic slowdowns. IG Metall has vowed to fight these cuts, threatening continent-wide disruption if negotiations do not secure the future of the workers.",Reuters,Reuters,https://www.reuters.com/business/autos-transportation/ford-job-cuts-plan-triggers-union-threat-europe-wide-disruption-2023-01-23/,-0.047069,Neutral,alphavantage_tsla
20230124T121300,‘The Nasdaq is our favorite short.’ This market strategist sees recession and a credit crunch slamming stocks in 2023.,"Market strategist Keith McCullough predicts a U.S. corporate profit recession and a credit crunch in 2023, leading to a significant downturn in stocks, particularly the Nasdaq. He argues that the Federal Reserve's interest rate hikes will exacerbate these issues. McCullough advises investors to short growth stocks and shift to defensive assets like gold, silver, and defensive ETFs.",MarketWatch,MarketWatch,https://www.marketwatch.com/story/the-mother-of-all-bubbles-has-popped-this-strategist-sees-a-fed-fueled-recession-in-2023-11674580422?gaa_at=eafs&gaa_n=AWEtsqcPriam70iiG55TV7O7Jyo7tKaTCi_XKMUHvFCpKt2ylixt14PY8Lby&gaa_ts=693d061a&gaa_sig=mzhNQiDiMFjWJlK23QdpkLPaY43ZU5YaluxgM5ABurgSyFt7ZUdug9t7OgloGIyfk8wGyyBYei9eepKFL0dhog%3D%3D,-0.330561,Somewhat-Bearish,alphavantage_tsla
20230124T121300,‘The Nasdaq is our favorite short.’ This market strategist sees recession and a credit crunch slamming stocks in 2023.,"Hedgeye CEO Keith McCullough predicts a U.S. corporate profit recession and credit crunch in 2023, causing a slide in the S&P 500, junk bonds, and previous market favorites like Tesla. McCullough, who has been critical of the Federal Reserve's handling of inflation and interest rates, recommends investors consider gold, silver, and defensive ETFs as a hedge. He views the Nasdaq as a prime short opportunity due to these anticipated market conditions.",MarketWatch,MarketWatch,https://www.marketwatch.com/story/the-mother-of-all-bubbles-has-popped-this-strategist-sees-a-fed-fueled-recession-in-2023-11674580422?gaa_at=eafs&gaa_n=AWEtsqf-Xvc9U8pl-_SpqNzIHUcUW6UvnwAxERsZCQgjKY-tBQWbFKYx6dsy&gaa_ts=693bc293&gaa_sig=6V55OugZa10eKily82j9bZ1wRfQ9Frfm1BoJU9-wQ16v8UPa0g8JRQAaQj5mu2sfYdlHsc5MGNwzrR5ZgpEvKw%3D%3D,-0.08825,Neutral,alphavantage_tsla
20230125T041241,Bad Week of Earnings Pulls Q4 Growth Rate Lower,"The S&P 500's blended EPS growth for Q4 decreased to -4.6% due to a week of mixed earnings reports from major financial institutions and other companies. This marks the lowest growth rate in over two years, driven by factors like increased loan loss provisions and consumer credit deterioration. Despite the decline, the earnings season is picking up, with key companies like Microsoft, Tesla, IBM, and Intel expected to report, and some companies like Danaher and Weyerhaeuser signaling positive results.",See It Market,See It Market,https://www.seeitmarket.com/bad-week-of-earnings-pulls-q4-growth-rate-lower/,0.187476,Somewhat-Bullish,alphavantage_tsla
20230125T042427,"Stocks Making the Biggest Moves After Hours: Tesla, Chevron, ServiceNow, Levi Strauss, IBM and More","This article details the after-hours stock movements of several major companies following their latest earnings reports. Tesla saw a slight rise despite volatile trading, while Chevron's shares advanced after announcing a large stock repurchasing program. ServiceNow tumbled, and IBM fell despite beating forecasts due to job cuts, while Levi Strauss and Las Vegas Sands both experienced gains.",NBC 7 San Diego,NBC 7 San Diego,https://www.nbcsandiego.com/news/business/money-report/stocks-making-the-biggest-moves-after-hours-tesla-chevron-servicenow-levi-strauss-ibm-and-more/3151620/,0.049606,Neutral,alphavantage_tsla
20230126T044909,STMicroelectronics Tops Estimates. The Tesla Supplier’s Stock Is Rising.,"STMicroelectronics, a European chip maker and Tesla supplier, saw its stock rise after reporting profit and revenue that exceeded analyst expectations. The company also announced plans to invest approximately $4 billion in capital spending to boost its manufacturing capacity this year.",Barron's,Barron's,https://www.barrons.com/articles/stmicroelectronics-tesla-supplier-stock-musk-51674729556?gaa_at=eafs&gaa_n=AWEtsqfvUHsu_efQ1uIhH7d2ISKlhaLlChrx84SeoU7pqiLWgtXsKq3Hr0bS&gaa_ts=699a8e49&gaa_sig=95NU0quZzf1X_asyk-U7gmpFktDr2LJ4_D4z7lI51TMkoOeuBpL9C9aFA4RvfcHj-DrRVHhewOBj5xDHZE9k4w%3D%3D,0.590443,Bullish,alphavantage_tsla
